timestamp,event_type,order_id,side,type,price,quantity
34204989,order,16712714,Buy,Limit,31,100
34204994,order,16713156,Buy,Limit,31,2200
34204994,order,16713161,Buy,Limit,31,100
34205014,order,16715119,Buy,Limit,31,100
34205021,order,16715829,Buy,Limit,31,100
34205021,order,16715842,Buy,Limit,31,2200
34205032,order,16716812,Buy,Limit,31,100
34205032,order,16716814,Buy,Limit,31,2200
34205032,order,16716817,Buy,Limit,31,100
34205034,order,16716943,Sell,Limit,31,100
34205034,order,16716957,Sell,Limit,31,100
34205037,order,16717232,Buy,Limit,31,100
34205071,order,16720518,Sell,Limit,31,3000
34205071,order,16720521,Sell,Limit,31,100
34205071,order,16720527,Sell,Limit,31,100
34205072,order,16720532,Sell,Limit,31,100
34205072,order,16720537,Sell,Limit,31,100
34205272,order,16742252,Sell,Limit,31,900
34205272,order,16742253,Sell,Limit,31,2200
34205272,order,16742257,Sell,Limit,31,500
34205272,order,16742258,Sell,Limit,31,2200
34205272,order,16742263,Sell,Limit,31,3000
34205275,order,16742592,Buy,Limit,31,300
34205276,order,16742645,Sell,Limit,31,400
34205765,order,16779113,Buy,Limit,31,2200
34205765,order,16779142,Buy,Limit,31,100
34205765,order,16779146,Buy,Limit,31,2200
34205765,order,16779170,Buy,Limit,31,100
34205777,order,16782889,Sell,Limit,31,100
34205777,order,16782915,Sell,Limit,31,100
34205779,order,16783171,Sell,Limit,31,1200
34205784,order,16783675,Sell,Limit,31,100
34205788,order,16783976,Sell,Limit,31,100
34205789,order,16784021,Sell,Limit,31,1200
34205790,order,16784101,Sell,Limit,31,100
34205790,order,16784143,Sell,Limit,31,1200
34206144,order,16810689,Sell,Limit,31,100
34206144,order,16810691,Sell,Limit,31,100
34206148,order,16810810,Sell,Limit,31,100
34206274,order,16817264,Sell,Limit,31,2200
34206274,order,16817270,Sell,Limit,31,100
34206275,order,16817276,Sell,Limit,31,300
34206275,order,16817278,Sell,Limit,31,3000
34206275,order,16817284,Sell,Limit,31,100
34206275,order,16817298,Sell,Limit,31,300
34206275,order,16817327,Sell,Limit,31,100
34206279,order,16817502,Sell,Limit,31,2200
34206279,order,16817504,Sell,Limit,31,100
34206279,order,16817506,Sell,Limit,31,100
34206279,order,16817547,Sell,Limit,31,100
34206286,order,16817876,Sell,Limit,31,200
34206286,order,16817878,Sell,Limit,31,100
34206286,order,16817881,Sell,Limit,31,100
34206286,order,16817885,Sell,Limit,31,2200
34206286,order,16817886,Sell,Limit,31,100
34206287,order,16817923,Sell,Limit,31,200
34206287,order,16817925,Sell,Limit,31,100
34206289,order,16818050,Sell,Limit,31,1100
34206290,order,16818066,Sell,Limit,31,300
34206292,order,16818184,Sell,Limit,31,100
34206292,order,16818190,Sell,Limit,31,2200
34206292,order,16818191,Sell,Limit,31,100
34206292,order,16818196,Sell,Limit,31,100
34206292,order,16818197,Sell,Limit,31,100
34206292,order,16818202,Sell,Limit,31,100
34206293,order,16818222,Sell,Limit,31,200
34206296,order,16818455,Sell,Limit,31,200
34206296,order,16818461,Sell,Limit,31,100
34206296,order,16818483,Buy,Limit,31,2200
34206296,order,16818485,Buy,Limit,31,2200
34206296,order,16818486,Buy,Limit,31,32
34206296,order,16818493,Buy,Limit,31,100
34206296,order,16818494,Buy,Limit,31,100
34206296,order,16818495,Sell,Limit,31,300
34206300,order,16818658,Sell,Limit,31,100
34206605,order,16832765,Sell,Limit,31,100
34208131,order,16903086,Buy,Limit,31,100
34208150,order,16903829,Sell,Limit,31,165
34208689,order,16920626,Sell,Limit,31,100
34209539,order,16950264,Buy,Limit,31,100
34209597,order,16951345,Buy,Limit,31,100
34210044,order,16971728,Buy,Limit,31,700
34210906,order,17029927,Buy,Limit,31,1000
34211436,order,17055427,Buy,Limit,31,1000
34213123,order,17115799,Buy,Limit,31,2800
34213124,order,17115847,Buy,Limit,31,2200
34213124,order,17115848,Buy,Limit,31,100
34213124,order,17115849,Buy,Limit,31,100
34213124,order,17115850,Buy,Limit,31,100
34213142,order,17116704,Sell,Limit,31,2000
34213242,order,17119393,Sell,Limit,31,600
34213242,order,17119400,Sell,Limit,31,300
34215022,order,17161039,Buy,Limit,31,100
34215240,order,17173355,Buy,Limit,31,2000
34215446,order,17184407,Sell,Limit,31,100
34217010,order,17240179,Buy,Limit,31,400
34217120,order,17246071,Buy,Limit,31,100
34217206,order,17250111,Buy,Limit,31,100
34217206,order,17250138,Buy,Limit,31,2800
34217206,order,17250363,Buy,Limit,31,100
34217207,order,17250606,Buy,Limit,31,100
34217207,order,17250847,Buy,Limit,31,100
34217207,order,17250911,Sell,Limit,31,200
34217207,order,17251023,Sell,Limit,31,400
34217207,order,17251031,Sell,Limit,31,100
34217208,order,17251367,Sell,Limit,31,100
34217209,order,17252446,Buy,Limit,31,100
34217211,order,17253698,Buy,Limit,31,1200
34217212,order,17253944,Buy,Limit,31,2800
34217212,order,17253956,Buy,Limit,31,100
34217213,order,17254762,Buy,Limit,31,100
34217214,order,17254865,Buy,Limit,31,2200
34217214,order,17254874,Buy,Limit,31,100
34217215,order,17255427,Sell,Limit,31,200
34217227,order,17257002,Sell,Limit,31,300
34217256,order,17259631,Buy,Limit,31,100
34217259,order,17259777,Buy,Limit,31,1600
34217279,order,17260912,Buy,Limit,31,100
34217712,order,17275379,Buy,Limit,31,100
34218002,order,17281923,Buy,Limit,31,100
34218059,order,17285178,Buy,Limit,31,100
34218061,order,17285239,Sell,Limit,31,100
34218062,order,17285243,Sell,Limit,31,100
34218062,order,17285257,Sell,Limit,31,100
34218062,order,17285262,Sell,Limit,31,100
34218062,order,17285273,Sell,Limit,31,100
34218099,order,17286883,Sell,Limit,31,100
34218100,order,17286889,Sell,Limit,31,100
34218100,order,17286895,Sell,Limit,31,100
34218100,order,17286900,Sell,Limit,31,100
34218100,order,17286907,Sell,Limit,31,100
34218102,order,17287200,Sell,Limit,31,100
34218102,order,17287210,Sell,Limit,31,100
34218102,order,17287213,Sell,Limit,31,100
34218105,order,17287513,Buy,Limit,31,3400
34218317,order,17294194,Sell,Limit,31,800
34219381,order,17326593,Sell,Limit,31,100
34222396,order,17425614,Buy,Limit,31,2400
34222396,order,17425615,Buy,Limit,31,100
34222396,order,17425616,Buy,Limit,31,2400
34222396,order,17425620,Buy,Limit,31,100
34222396,order,17425621,Buy,Limit,31,1400
34222400,order,17425749,Sell,Limit,31,100
34222400,order,17425757,Sell,Limit,31,100
34222400,order,17425759,Sell,Limit,31,300
34222508,order,17429743,Sell,Limit,31,400
34222832,order,17437593,Sell,Limit,31,100
34222832,order,17437597,Sell,Limit,31,100
34222832,order,17437599,Sell,Limit,31,100
34222832,order,17437602,Sell,Limit,31,100
34222832,order,17437605,Sell,Limit,31,100
34223010,order,17442035,Sell,Limit,31,100
34223010,order,17442047,Buy,Limit,31,200
34223010,order,17442049,Sell,Limit,31,100
34223012,order,17442133,Sell,Limit,31,100
34223012,order,17442139,Sell,Limit,31,100
34223024,order,17442658,Sell,Limit,31,700
34223024,order,17442660,Sell,Limit,31,200
34223024,order,17442661,Sell,Limit,31,300
34223024,order,17442662,Sell,Limit,31,158
34224198,order,17475871,Sell,Limit,31,100
34225516,order,17512727,Buy,Limit,31,900
34225517,order,17512740,Buy,Limit,31,700
34225517,order,17512741,Buy,Limit,31,100
34225517,order,17512745,Buy,Limit,31,100
34225517,order,17512746,Sell,Limit,31,200
34225523,order,17512882,Sell,Limit,31,100
34225525,order,17512962,Buy,Limit,31,900
34225525,order,17512965,Buy,Limit,31,100
34225525,order,17512966,Buy,Limit,31,500
34226154,order,17528155,Buy,Limit,31,100
34226874,order,17545952,Buy,Limit,31,100
34226969,order,17547373,Buy,Limit,31,100
34227275,order,17558440,Buy,Limit,31,800
34227278,order,17558569,Buy,Limit,31,100
34227888,order,17615779,Sell,Limit,31,100
34230961,order,17733530,Buy,Limit,31,500
34230961,order,17733534,Buy,Limit,31,100
34230962,order,17733535,Buy,Limit,31,1400
34231289,order,17744616,Sell,Limit,31,100
34231289,order,17744617,Sell,Limit,31,300
34231289,order,17744618,Sell,Limit,31,100
34231614,order,17761369,Buy,Limit,31,100
34231614,order,17761390,Buy,Limit,31,100
34231615,order,17761583,Buy,Limit,31,300
34231615,order,17761617,Buy,Limit,31,300
34231704,order,17765142,Sell,Limit,31,100
34231704,order,17765143,Sell,Limit,31,900
