34200.005742728,4,15835012,34,275200,-1
34200.00624102,1,16114545,100,275200,-1
34200.048883439,3,15833239,100,275100,1
34200.211338163,4,15835012,66,275200,-1
34200.211338163,4,16114545,100,275200,-1
34200.211338163,5,0,125,275200,-1
34200.211455487,1,16168655,200,275100,1
34200.211462382,1,16168657,100,275100,1
34200.211463884,1,16168658,200,275100,1
34200.211558241,3,16168655,200,275100,1
34200.211558241,1,16168690,200,275100,1
34200.211577771,3,16168658,200,275100,1
34200.211577771,1,16168700,200,275100,1
34200.211583347,3,16168657,100,275100,1
34200.211583347,1,16168701,100,275100,1
34200.211645674,3,16168690,200,275100,1
34200.211645674,1,16168720,200,275100,1
34200.211647852,3,16168700,200,275100,1
34200.211647852,1,16168721,200,275100,1
34200.211656648,3,16168701,100,275100,1
34200.211656648,1,16168727,100,275100,1
34200.211713332,3,16168720,200,275100,1
34200.211713332,1,16168748,200,275100,1
34200.211716769,3,16168721,200,275100,1
34200.211716769,1,16168750,200,275100,1
34200.211722905,3,16168727,100,275100,1
34200.211722905,1,16168751,100,275100,1
34200.211771374,3,16168748,200,275100,1
34200.211771374,1,16168774,200,275100,1
34200.211795867,3,16168751,100,275100,1
34200.211795867,1,16168783,100,275100,1
34200.211797436,3,16168750,200,275100,1
34200.211797436,1,16168784,200,275100,1
34200.211841378,3,16168774,200,275100,1
34200.211841378,1,16168806,200,275100,1
34200.211881267,3,16168783,100,275100,1
34200.211881267,1,16168817,100,275100,1
34200.211888998,3,16168784,200,275100,1
34200.211888998,1,16168820,200,275100,1
34200.211933297,3,16168806,200,275100,1
34200.211955212,3,16168817,100,275100,1
34200.211973699,3,16168820,200,275100,1
34200.212012251,1,16168872,100,275200,-1
34200.233925991,4,16168872,100,275200,-1
34200.233925991,5,0,100,275200,-1
34200.233982889,1,16174086,200,275100,1
34200.233985236,1,16174087,100,275100,1
34200.233988686,1,16174089,200,275100,1
34200.234101054,3,16174089,200,275100,1
34200.234101054,1,16174108,200,275100,1
34200.234104064,3,16174086,200,275100,1
34200.234104064,1,16174109,200,275100,1
34200.234106043,3,16174087,100,275100,1
34200.234106043,1,16174111,100,275100,1
34200.234184586,3,16174109,200,275100,1
34200.234184586,1,16174132,200,275100,1
34200.234195927,3,16174108,200,275100,1
34200.234195927,1,16174135,200,275100,1
34200.23421147,3,16174111,100,275100,1
34200.23421147,1,16174144,100,275100,1
34200.234302914,3,16174132,200,275100,1
34200.234302914,1,16174161,200,275100,1
34200.234312552,3,16174135,200,275100,1
34200.234312552,1,16174168,200,275100,1
34200.234317761,3,16174144,100,275100,1
34200.234317761,1,16174174,100,275100,1
34200.234320724,1,16174177,100,275200,-1
34200.234404163,3,16174161,200,275100,1
34200.234404163,1,16174198,200,275100,1
34200.23440582,3,16174174,100,275100,1
34200.23440582,1,16174199,100,275100,1
34200.234407241,3,16174168,200,275100,1
34200.234407241,1,16174200,200,275100,1
34200.234508812,3,16174198,200,275100,1
34200.234508812,1,16174226,200,275100,1
34200.234511064,3,16174199,100,275100,1
34200.234511313,3,16174200,200,275100,1
34200.234511313,1,16174227,200,275100,1
34200.234584295,3,16174226,200,275100,1
34200.23459686,3,16174227,200,275100,1
34200.358927155,4,16174177,79,275200,-1
34200.359258829,1,16198801,100,275200,-1
34200.393444815,1,16207016,100,275100,1
34200.439889823,4,16174177,21,275200,-1
34200.439889823,4,16198801,100,275200,-1
34200.439889823,1,2618594,100,275200,1
34200.439889823,1,13520190,880,275200,1
34200.440901511,1,16215340,100,275200,1
34200.440902212,1,16215341,200,275200,1
34200.440902843,1,16215342,200,275200,1
34200.440911072,1,16215350,100,275200,1
34200.441091493,4,2618594,100,275200,1
34200.441091493,4,13520190,300,275200,1
34200.441094477,4,13520190,300,275200,1
34200.4411083,4,13520190,280,275200,1
34200.4411083,4,16215340,100,275200,1
34200.4411083,4,16215341,200,275200,1
34200.4411083,4,16215342,200,275200,1
34200.4411083,4,16215350,100,275200,1
34200.4411083,4,13820460,4,275100,1
34200.4411083,4,15840383,100,275100,1
34200.4411083,4,15931262,16,275100,1
34200.441122471,4,15931262,9,275100,1
34200.441169467,1,16215406,200,275200,-1
34200.443656019,3,16215406,200,275200,-1
34200.444801049,1,16216401,100,275100,1
34200.475206543,1,16223463,40,275100,1
34200.485313484,1,16225212,600,275100,1
34200.485381453,1,16225228,2200,275100,1
34200.649465132,4,14146587,900,275300,-1
34200.649639588,4,14146587,100,275300,-1
34200.649639588,5,0,2000,275300,-1
34200.649700067,1,16255549,200,275200,1
34200.649703422,1,16255550,100,275200,1
34200.649735971,1,16255557,100,275200,1
34200.649801995,1,16255568,100,275200,1
34200.649895536,1,16255588,1000,275300,-1
34200.651077061,4,16255588,1000,275300,-1
34200.651077061,5,0,2300,275300,-1
34200.651175057,1,16255800,100,275200,1
34200.651254955,3,16255800,100,275200,1
34200.651329981,1,16255821,1000,275300,-1
34200.65590026,4,16255821,700,275300,-1
34200.706232427,4,16255821,300,275300,-1
34200.706340282,1,16266391,100,275200,1
34200.70642631,3,16266391,100,275200,1
34200.706533666,1,16266423,1000,275300,-1
34200.73660524,4,16266423,300,275300,-1
34200.752577541,3,16255557,100,275200,1
34200.775716553,4,16266423,700,275300,-1
34200.775716553,5,0,300,275300,-1
34200.775831473,1,16276173,100,275200,1
34200.776143431,1,16276225,1000,275300,-1
34200.77620942,3,16276173,100,275200,1
34200.779300939,4,16276225,600,275300,-1
34200.783991929,4,16255549,100,275200,1
34200.84887143,4,16255549,38,275200,1
